%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702623864132786853,188,1702623864132550239,base_link,-0.00756855315867843,-0.015452351076722924,-0.9789635983923424,0.2033081770908448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010652896016836166,-0.019173167645931244,0.004423173144459724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557769048073296,0.265209859320525,9.793071117146367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864135946940,189,1702623864135820388,base_link,-0.007604738249654056,-0.015496238864636754,-0.9789601908346067,0.2033198940051732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010652896016836166,-0.019173167645931244,0.004423173144459724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557769048073296,0.265209859320525,9.793071117146367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864139397500,190,1702623864139252901,base_link,-0.007604738249654056,-0.015496238864636754,-0.9789601908346067,0.2033198940051732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017044473439455032,0.02663288824260235,0.0022925063967704773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3750973240530761,0.4571227154692436,9.782143978724207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864142706763,191,1702623864142534732,base_link,-0.007545549778296303,-0.01552283210308249,-0.9789592340655363,0.20332467730175147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017044473439455032,0.02663288824260235,0.0022925063967704773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3750973240530761,0.4571227154692436,9.782143978724207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864146094738,192,1702623864145950317,base_link,-0.007545549778296303,-0.01552283210308249,-0.9789592340655363,0.20332467730175147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01704411767423153,-0.00212929118424654,0.0012272614985704422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19529096015467873,0.32925680090252357,9.79252017613144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864149561515,193,1702623864149278402,base_link,-0.007606005235593235,-0.01545312365716121,-0.9789596474413715,0.20332574439814102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01704411767423153,-0.00212929118424654,0.0012272614985704422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19529096015467873,0.32925680090252357,9.79252017613144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864153225615,194,1702623864152844190,base_link,-0.007606005235593235,-0.01545312365716121,-0.9789596474413715,0.20332574439814102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036219485104084015,-0.05219574272632599,0.0022927075624465942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25840150781281757,0.15748762508439562,9.795326758649011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864156450334,195,1702623864156079530,base_link,-0.007792221174322973,-0.015380630145094627,-0.9789590857996773,0.20332689402971363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036219485104084015,-0.05219574272632599,0.0022927075624465942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25840150781281757,0.15748762508439562,9.795326758649011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864159795479,196,1702623864159474611,base_link,-0.007792221174322973,-0.015380630145094627,-0.9789590857996773,0.20332689402971363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01704517938196659,-0.02343272976577282,0.00122753344476223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104850733157892,0.18094990159093777,9.78972722488728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702623864163005863,197,1702623864162670373,base_link,-0.007845617534152787,-0.015338626348173675,-0.9789590322453199,0.20332827155259509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01704517938196659,-0.02343272976577282,0.00122753344476223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104850733157892,0.18094990159093777,9.78972722488728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
